TimeStamp;OrderId;OrderStatus;VehicleId;
12434;87304;IN_PROGRESS;5;
12451;195151;UNASSIGNED;-1;
12452;195151;ASSIGNED;35;
12628;996872;IN_PROGRESS;36;
12691;153674;UNASSIGNED;-1;
12692;153674;ASSIGNED;48;
12711;591016;DELIVERED;6;
12723;930669;IN_PROGRESS;46;
12725;784497;IN_PROGRESS;49;
12737;109253;DELIVERED;39;
12750;243589;UNASSIGNED;-1;
12751;243589;ASSIGNED;31;
12803;113906;DELIVERED;31;
12819;537642;DELIVERED;27;
12819;341379;DELIVERED;27;
12880;410435;DELIVERED;19;
12892;817401;UNASSIGNED;-1;
12893;817401;ASSIGNED;17;
12904;318891;DELIVERED;1;
12906;585669;DELIVERED;38;
13100;433272;UNASSIGNED;-1;
13101;433272;ASSIGNED;33;
13177;948047;DELIVERED;28;
13177;382243;DELIVERED;28;
13252;280151;UNASSIGNED;-1;
13253;280151;ASSIGNED;36;
13320;281116;UNASSIGNED;-1;
13321;281116;ASSIGNED;23;
13333;837547;IN_PROGRESS;31;
13333;895954;DELIVERED;31;
13349;642546;DELIVERED;44;
13351;856205;DELIVERED;19;
13367;46465;DELIVERED;11;
13401;497363;DELIVERED;35;
13401;180614;UNASSIGNED;-1;
13402;180614;ASSIGNED;48;
13426;607990;IN_PROGRESS;12;
13440;153674;IN_PROGRESS;48;
13440;180614;IN_PROGRESS;48;
13450;506038;UNASSIGNED;-1;
13451;506038;ASSIGNED;1;
13476;581395;DELIVERED;15;
13476;26704;DELIVERED;15;
13476;731436;UNASSIGNED;-1;
13477;731436;ASSIGNED;1;
13490;633783;IN_PROGRESS;28;
13490;307252;IN_PROGRESS;28;
13490;121515;IN_PROGRESS;28;
13529;127187;IN_PROGRESS;23;
13529;474154;IN_PROGRESS;23;
13529;332310;IN_PROGRESS;23;
13529;593919;IN_PROGRESS;23;
13630;490789;UNASSIGNED;-1;
13631;490789;ASSIGNED;11;
13636;817401;IN_PROGRESS;17;
13808;189186;IN_PROGRESS;4;
13820;129127;DELIVERED;41;
13976;506038;IN_PROGRESS;1;
14032;684087;UNASSIGNED;-1;
14033;684087;ASSIGNED;28;
14036;433272;IN_PROGRESS;33;
14131;23006;IN_PROGRESS;20;
14131;896071;IN_PROGRESS;20;
14139;755718;UNASSIGNED;-1;
14140;755718;ASSIGNED;31;
14341;490789;IN_PROGRESS;11;
14341;108143;DELIVERED;11;
14415;413453;IN_PROGRESS;39;
14415;921731;IN_PROGRESS;39;
14415;950342;IN_PROGRESS;39;
